2018.12.19 12:18,323,1dnj****,211.36.***.225,0,2,조~깟~~노,
2018.12.18 14:18,416,ljs5****,183.104.***.86,1,0,또?릴 기세네요 주의 하세요300주만뎐지면 보합만들고 500주만던지면마이너스 만들수있다 조심하세요 허지만 갚은조류를보세요,['제가 여러곳 다녔지만 직접투자한 매매일지 까는 곳은 이곳 뿐 입니다.\n\n전 뇌동매매만 했었는데 이곳에서 기준잡고 투자한 후 지금 수익만 납니다.\n\n복사하셔서 가보세요. 이웃추가 하시고요!!\n이곳이 진짜인지 한번 지켜보세요.\nhttps://blognaver.shortcm.li/eYSBOf']
2018.12.17 18:33,430,ljs5****,183.104.***.86,2,0,조금올랐다고 파는간 하수짓거리 장장 3년을 기고또 기었다 3년으;세월과 손해를50000원과 바꾼다면 하수중의하수 이주식 50000원부터 시작이다 내말이틀리는가 보세요 내평단이50000원인데 그값에 3년세월을 버리겠능교?나는그리몬한다최소한7자는봐야 줄란지 생각좀해봐야갠내,[]
2018.12.17 15:28,415,onix****,58.123.***.95,2,2,ㅈㅈㅈ,['내 주식인생 50년 대창솔류션으로20억억고2달전에 양도세 4억을내고 단자에 투자해보니 지금해대는짓거리가 애들작난도 아니고 하는것을보니 이제 종착역이 가까워 오는것 이고수의눈에 보인다 잔파도를 넘기고 저깊은울속에서꿈틀 대는조류 를..........어떤유혹도 흔들리지않는쟈 가 최후의승리자가될것이다']
2018.12.17 09:14,491,ljs5****,59.4.***.73,3,1,절대 움직이지 마세요종가에 작난들어옴니다 대량거래는 전부자전거래로 알고있음니다,[]
2018.12.17 09:12,388,8402****,210.103.***.68,3,0,"전기차에서 수소차로 자동차신기술 자율주행까지 산업이 한단계 쉬프트
미리미리 엄청난 재무구조 확인하고 잡아두시요.",[]
2018.12.16 23:19,445,plaz****,125.191.***.225,1,0,"빠지고 듣보잡 강스템바이오텍 이라는 회사가 대신간다네요...

강스템바이오텍...
개부럽네요...

우리 한국단자도 이번주부터 힘내서 우상향 가즈아~~!",[]
2018.12.16 22:01,405,ljs5****,59.4.***.73,3,0,때문에 주가변동이심하군요 허지만 이종목은 하락이심해서 년말 이이상폭락은없을검니다 내년초에 잃은것 방까이가능하니배당먹고 기다려봅시다 요몇일새 대량거래는 아마 이겻 때문일것임니다 이미 모든것이끝난상태이니 년말까지별변동은없을것같아요,[]
2018.12.12 11:37,1022,kjh9****,223.62.***.221,1,2,불기둥가즈앙,"['밑으로 갔다.', '밑으로 가즈아.']"
2018.12.11 09:08,519,onix****,58.123.***.95,1,2,뜨거운 맛을 봐야 주식 무서운줄 알지 ...ㅈㅈㅈㅋㄷㅋㄷ,['또 시작이군~~']
2018.12.10 09:12,511,onix****,58.123.***.95,5,4,"더 떠들어 봐?? ㅋㅋ 왜 조용해? 엄청 좋다며?? 날라 간다며?? ㅋㄷㅋㄷ
정말 가소로워서 말하기 싫다.ㅋㅋㅉㅉ
공부 많이 더해야겠다 찬티 너희들 찬티 너희들은 하수중에도 악수다 ㅋㅋ
사요나라 ㅋㄷㅋㄷ","['그때 손절할께.', '오닉스.\n2만원까지 떨어뜨리봐라.']"
2018.12.08 10:06,1206,lpj0****,210.0.***.70,0,0,"항상 한일시멘트아들로써
네트웍스는 지분투자 시멘트엄마회사에 팔더구뇨
엄마가시켜...성공하면 판키워 엄마한테팔고 뽀지얻어먹고
아무튼
한일네트웍스는 시멘트의 명령에따라 매수

한국단자를..왜 매수했지
한일시멘트와,,한국단자 무슨 관계가있나요
주가를보니 단순투자는아닌듯하고
시멘트가 한일단자를 먹을려고 한건가..그것도아니면
한일단자 주식으로 작전",[]
2018.12.07 20:44,836,ljs5****,59.4.***.73,1,0,이 회사는 한일시멘트 와 관계있는회사로서 2대주주 이원준의 경영권 장악을위해 지분을 늘렸음니다 130억의주식수는 312450주 이며 단가는 41606원임니다 회사경영 은뒤로 두고 경영권이전에만 신경을쓰는군요 이로서 실질적인1대 주주는 결국 이원준이가되었군요 축하함니다,['모여. 그럼 지분경쟁 일어난 거여? 오호~~~ 제일 재미있는게 지분경쟁 싸움이지.\n\n팝콘 가져와라~~']
2018.12.07 11:01,326,onix****,58.123.***.95,2,1,내가 올라가나 못가나 지켜보라 했지?? 가냐? ㅈㅈㅈ 또 머만큼 올라가면 또 설래발 치겟지 ?? ㅋㅋ,[]
2018.12.06 15:04,757,ljs5****,59.4.***.73,1,0,3% 주식매입했다는건지 할거라는지 알수가없내요 아시는분계시는지요,['했다자나']
